partida_id,treinador_id,clube_id,tipo
466,11,15,Titular
467,,24,
467,,22,
468,,17,
468,,27,
469,31,25,Titular
469,28,23,Titular
470,34,20,Titular
470,,3,
471,27,1,Titular
471,1,21,Titular
472,,26,
472,29,7,Titular
473,,16,
473,,2,
474,,8,
474,,18,
475,30,19,Titular
475,12,13,Titular
476,35,5,Titular
476,13,10,Titular
477,,19,
477,,18,
478,3,3,Titular
478,32,2,Titular
479,,20,
479,,16,
480,12,13,Titular
480,7,8,Titular
481,,26,
481,,24,
482,24,11,Titular
482,23,4,Titular
483,,14,
483,,12,
484,,17,
484,,1,
485,11,15,Titular
485,,6,
486,29,7,Titular
486,,21,
487,,27,
487,,25,
488,,22,
488,28,23,Titular
489,12,13,Titular
489,3,3,Titular
490,,18,
490,,16,
491,,5,
491,,14,
492,,17,
492,,8,
493,28,23,Titular
493,,24,
494,,26,
494,1,21,Titular
495,29,7,Titular
495,32,2,Titular
496,,12,
496,13,10,Titular
497,,27,
497,,22,
498,23,4,Titular
498,11,15,Titular
499,,19,
499,,20,
500,,25,
500,,1,
501,24,11,Titular
501,,6,
502,12,13,Titular
502,33,16,Titular
503,,18,
503,,1,
504,,20,
504,29,7,Titular
505,,22,
505,,12,
506,,15,
506,24,11,Titular
507,,26,
507,,8,
508,,23,
508,,3,
509,,17,
509,,5,
510,,24,
510,,4,
511,,27,
511,,19,
512,31,25,Titular
512,,6,
513,,2,
513,13,10,Titular
514,9,14,Titular
514,12,13,Titular
515,,21,
515,,16,
516,11,15,Titular
516,27,1,Titular
517,,24,
517,,19,
518,12,13,Titular
518,24,11,Titular
519,,2,
519,7,8,Titular
520,,20,
520,13,10,Titular
521,28,23,Titular
521,36,12,Titular
522,29,7,Titular
522,,17,
524,,27,
524,,4,
525,,22,
525,3,3,Titular
526,1,21,Titular
526,,6,
527,,18,
527,,14,
528,,25,
528,,16,
529,3,3,Titular
529,,4,
530,,27,
530,,18,
531,31,25,Titular
531,24,11,Titular
532,,22,
532,,14,
533,29,7,Titular
533,,19,
534,,8,
534,,1,
535,12,13,Titular
535,1,21,Titular
536,,26,
536,32,2,Titular
537,,12,
537,,6,
538,28,23,Titular
538,,20,
539,,24,
539,13,10,Titular
540,,16,
540,,5,
541,,17,
541,11,15,Titular
542,,24,
542,,18,
543,,19,
543,,12,
544,,1,
544,,16,
545,24,11,Titular
545,1,21,Titular
546,,22,
546,,20,
547,29,7,Titular
547,3,3,Titular
548,31,25,Titular
548,12,13,Titular
549,,17,
549,32,2,Titular
550,,6,
550,,8,
551,,4,
551,,5,
552,,26,
552,11,15,Titular
553,,27,
553,13,10,Titular
554,28,23,Titular
554,9,14,Titular
555,,12,
555,,5,
556,,2,
556,29,7,Titular
557,,14,
557,,17,
558,24,11,Titular
558,,15,
559,,19,
559,,6,
560,12,13,Titular
560,34,20,Titular
561,,10,
561,13,18,Titular
562,,3,
562,,8,
563,,14,
563,,3,
564,24,11,Titular
564,30,19,Titular
565,11,15,Titular
565,,6,
566,,5,
566,29,7,Titular
567,,8,
567,,17,
568,,2,
568,,12,
569,13,10,Titular
569,12,13,Titular
570,,18,
570,,20,
571,11,15,Titular
571,30,19,Titular
572,,6,
572,24,11,Titular
573,,5,
573,,2,
574,29,7,Titular
574,,12,
575,,17,
575,3,3,Titular
576,,13,
576,,18,
577,,8,
577,,14,
578,,20,
578,13,10,Titular
579,,5,
579,,8,
580,,15,
580,,13,
581,,15,
581,35,5,Titular
582,,28,
582,,21,
583,,29,
583,,30,
584,,22,
584,,15,
585,,8,
585,,6,
586,,9,
586,,31,
587,,32,
587,13,10,Titular
588,,33,
588,,13,
589,,27,
589,,4,
590,,34,
590,,5,
591,,35,
591,,36,
592,,12,
592,,7,
593,29,1,Titular
593,24,11,Titular
594,,37,
594,18,19,Titular
595,37,23,Titular
595,38,38,Titular
596,39,39,Titular
596,7,14,Titular
597,,40,
597,,25,
598,40,41,Titular
598,34,20,Titular
599,,17,
599,,24,
600,,21,
600,,2,
601,41,30,Titular
601,11,15,Titular
602,,22,
602,20,16,Titular
603,,32,
603,,36,
604,,29,
604,,12,
605,,35,
605,13,10,Titular
606,,7,
606,,17,
607,,40,
607,3,3,Titular
608,,31,
608,29,1,Titular
609,,37,
609,,5,
610,,25,
610,14,18,Titular
611,,27,
611,24,11,Titular
612,39,39,Titular
612,34,20,Titular
613,18,19,Titular
613,15,34,Titular
614,,4,
614,,9,
615,,41,
615,7,14,Titular
616,,38,
616,,8,
617,,33,
617,,6,
618,,24,
618,,28,
619,37,23,Titular
619,12,13,Titular
620,19,4,Titular
620,,31,
621,,30,
621,20,16,Titular
622,,34,
622,,37,
623,,7,
623,13,10,Titular
624,,3,
624,42,12,Titular
625,,2,
625,,15,
626,,29,
626,,25,
627,43,21,Titular
627,14,18,Titular
628,,32,
628,,35,
629,,17,
629,,28,
630,,40,
630,,22,
631,,19,
631,,8,
632,,5,
632,,14,
633,,41,
633,39,39,Titular
634,37,23,Titular
634,,6,
635,,9,
635,24,11,Titular
636,,27,
636,29,1,Titular
637,12,13,Titular
637,34,20,Titular
638,,33,
638,38,38,Titular
639,,2,
639,,12,
640,,36,
640,13,10,Titular
641,,32,
641,3,3,Titular
642,,35,
642,,25,
643,,42,
643,,18,
644,,29,
644,,17,
645,,22,
645,,24,
646,,30,
646,,7,
647,,28,
647,,15,
648,,41,
648,,5,
649,29,1,Titular
649,7,14,Titular
650,,31,
650,,19,
651,,37,
651,,8,
652,,38,
652,24,11,Titular
653,,27,
653,37,23,Titular
654,,39,
654,,33,
655,,9,
655,,13,
656,15,34,Titular
656,34,20,Titular
657,,6,
657,19,4,Titular
658,20,16,Titular
658,,36,
659,37,23,Titular
659,18,19,Titular
660,14,18,Titular
660,,17,
661,,24,
661,,7,
662,26,28,Titular
662,3,3,Titular
663,,12,
663,,15,
664,,25,
664,,22,
665,,30,
665,,21,
666,13,10,Titular
666,,2,
667,,32,
667,,43,
668,,35,
668,,29,
669,,8,
669,24,11,Titular
670,,27,
670,7,14,Titular
671,,41,
671,,6,
672,,31,
672,,37,
673,38,38,Titular
673,15,34,Titular
674,,39,
674,,5,
675,34,20,Titular
675,19,4,Titular
676,,33,
676,,9,
677,29,1,Titular
677,,13,
678,,32,
678,,2,
679,,21,
679,,36,
680,,35,
680,20,16,Titular
681,35,29,Titular
681,14,18,Titular
682,,44,
682,,24,
683,,34,
683,29,1,Titular
684,,7,
684,,22,
685,41,30,Titular
685,3,3,Titular
686,,25,
686,13,10,Titular
687,,39,
687,,6,
688,,31,
688,,5,
689,,33,
689,,19,
690,,41,
690,,8,
691,24,11,Titular
691,,4,
692,33,9,Titular
692,37,23,Titular
693,,27,
693,,13,
694,,37,
694,,20,
695,7,14,Titular
695,38,38,Titular
696,,17,
696,,15,
697,,12,
697,,36,
698,,34,
698,,27,
699,34,20,Titular
699,29,1,Titular
700,,19,
700,,9,
701,,28,
701,,2,
702,20,16,Titular
702,11,15,Titular
703,,3,
703,13,10,Titular
704,,29,
704,,7,
705,,22,
705,,35,
706,,32,
706,,25,
707,,21,
707,,17,
708,,42,
708,,30,
709,,24,
709,14,18,Titular
710,7,14,Titular
710,,6,
711,,41,
711,19,4,Titular
712,,39,
712,,8,
713,,13,
713,,5,
714,,31,
714,24,11,Titular
715,,37,
715,38,38,Titular
716,37,23,Titular
716,,33,
717,,3,
717,,2,
718,14,18,Titular
718,20,16,Titular
719,,34,
719,,9,
720,,30,
720,,35,
721,19,4,Titular
721,39,39,Titular
722,,31,
722,,6,
723,,8,
723,,13,
724,,15,
724,,36,
725,,7,
725,,21,
726,,25,
726,3,3,Titular
727,,12,
727,20,16,Titular
728,,32,
728,,24,
729,,17,
729,,2,
730,,28,
730,,42,
731,,22,
731,,29,
732,34,20,Titular
732,18,19,Titular
733,24,11,Titular
733,,14,
734,,18,
734,13,10,Titular
735,38,38,Titular
735,,41,
736,37,23,Titular
736,5,5,Titular
737,,27,
737,,33,
738,29,1,Titular
738,,37,
739,,29,
739,,2,
740,,15,
740,,24,
741,,7,
741,,36,
742,,42,
742,20,16,Titular
743,,17,
743,13,10,Titular
744,,35,
744,,28,
745,,25,
745,,12,
746,43,21,Titular
746,3,3,Titular
747,,20,
747,,38,
748,,19,
748,,6,
749,,33,
749,,5,
750,,32,
750,,30,
751,,37,
751,7,14,Titular
752,,34,
752,24,11,Titular
753,,39,
753,,27,
754,,41,
754,,31,
755,37,23,Titular
755,29,1,Titular
756,,22,
756,14,18,Titular
757,,9,
757,,8,
758,,28,
758,,7,
759,37,23,Titular
759,15,34,Titular
760,11,15,Titular
760,3,3,Titular
761,,42,
761,,36,
762,,29,
762,13,10,Titular
763,,24,
763,,2,
764,,17,
764,20,16,Titular
765,,25,
765,43,21,Titular
766,,22,
766,,32,
767,,35,
767,,12,
768,41,30,Titular
768,14,18,Titular
769,29,1,Titular
769,,33,
770,,27,
770,,8,
771,18,19,Titular
771,19,4,Titular
772,34,20,Titular
772,7,14,Titular
773,,13,
773,,6,
774,,5,
774,24,11,Titular
775,38,38,Titular
775,,31,
776,,37,
776,,39,
777,,41,
777,,9,
778,,25,
778,,2,
779,28,7,Titular
779,14,18,Titular
780,,29,
780,20,16,Titular
781,39,39,Titular
781,18,19,Titular
782,,28,
782,,30,
783,,37,
783,37,23,Titular
784,,42,
784,,35,
785,,32,
785,,12,
786,13,10,Titular
786,,24,
787,29,1,Titular
787,,8,
788,,38,
788,,5,
789,,27,
789,,9,
790,,41,
790,24,11,Titular
791,,34,
791,,6,
792,,33,
792,34,20,Titular
793,19,4,Titular
793,7,14,Titular
794,,31,
794,12,13,Titular
795,,21,
795,,15,
796,3,3,Titular
796,44,36,Titular
797,,17,
797,,22,
798,,28,
798,20,16,Titular
799,15,34,Titular
799,12,13,Titular
800,7,14,Titular
800,33,9,Titular
801,19,4,Titular
801,38,38,Titular
802,,7,
802,,2,
803,,25,
803,,36,
804,13,10,Titular
804,,15,
805,3,3,Titular
805,,22,
806,,35,
806,,24,
807,,42,
807,,29,
808,,32,
808,,21,
809,,17,
809,,30,
810,,12,
810,,18,
811,,8,
811,,5,
812,18,19,Titular
812,,41,
813,,39,
813,24,11,Titular
814,29,1,Titular
814,,6,
815,37,23,Titular
815,34,20,Titular
816,,33,
816,,37,
817,,27,
817,,31,
818,,28,
818,,12,
819,12,13,Titular
819,19,4,Titular
820,,28,
820,,36,
821,20,16,Titular
821,13,10,Titular
822,15,34,Titular
822,,41,
823,,33,
823,,8,
824,,5,
824,,6,
825,,12,
825,,22,
826,3,3,Titular
826,,17,
827,,30,
827,,24,
828,,32,
828,,29,
829,,35,
829,,7,
830,,25,
830,,15,
831,,21,
831,,40,
832,24,11,Titular
832,,20,
833,38,38,Titular
833,,27,
834,18,19,Titular
834,7,14,Titular
835,39,39,Titular
835,12,13,Titular
836,,18,
836,,2,
837,,37,
837,19,4,Titular
838,,31,
838,37,23,Titular
839,,9,
839,29,1,Titular
840,,35,
840,,2,
841,,32,
841,14,18,Titular
842,,21,
842,20,16,Titular
843,,24,
843,,36,
844,,7,
844,,15,
845,,28,
845,,22,
846,,30,
846,,12,
847,,25,
847,,17,
848,35,29,Titular
848,3,3,Titular
849,,40,
849,13,10,Titular
850,37,23,Titular
850,23,8,Titular
851,38,38,Titular
851,,6,
852,,19,
852,,5,
853,,4,
853,29,1,Titular
854,,37,
854,24,11,Titular
855,,27,
855,34,20,Titular
856,,31,
856,,33,
857,15,34,Titular
857,7,14,Titular
858,,39,
858,,9,
859,,41,
859,12,13,Titular
860,,24,
860,20,16,Titular
861,,21,
861,,35,
862,,4,
862,,5,
863,,34,
863,,31,
864,,28,
864,14,18,Titular
865,,2,
865,,36,
866,,22,
866,13,10,Titular
867,35,29,Titular
867,11,15,Titular
868,28,7,Titular
868,3,3,Titular
869,,17,
869,,32,
870,,30,
870,,25,
871,,40,
871,,12,
872,,39,
872,37,23,Titular
873,34,20,Titular
873,,6,
874,,37,
874,,27,
875,,13,
875,24,11,Titular
876,7,14,Titular
876,23,8,Titular
877,29,1,Titular
877,,19,
878,,41,
878,,33,
879,,38,
879,,9,
880,,32,
880,20,16,Titular
881,,17,
881,,36,
882,,35,
882,,3,
883,,25,
883,,28,
884,,15,
884,,18,
885,,29,
885,,21,
886,,12,
886,,24,
887,,40,
887,,2,
888,33,9,Titular
888,,6,
889,5,5,Titular
889,34,20,Titular
890,,33,
890,24,11,Titular
891,,37,
891,12,13,Titular
892,29,1,Titular
892,,39,
893,,41,
893,37,23,Titular
894,18,19,Titular
894,,27,
895,,8,
895,,4,
896,,31,
896,7,14,Titular
897,,40,
897,,15,
898,14,18,Titular
898,44,36,Titular
899,,21,
899,,22,
900,,30,
900,,2,
901,,25,
901,,7,
902,,28,
902,,32,
903,,35,
903,,17,
904,,29,
904,,24,
905,3,3,Titular
905,20,16,Titular
906,13,10,Titular
906,,12,
907,,31,
907,,8,
908,,27,
908,,6,
909,,33,
909,7,14,Titular
910,,34,
910,,4,
911,24,11,Titular
911,37,23,Titular
912,29,1,Titular
912,,5,
913,,39,
913,38,38,Titular
914,,37,
914,,41,
915,12,13,Titular
915,18,19,Titular
916,,9,
916,34,20,Titular
917,,22,
917,,2,
918,,32,
918,11,15,Titular
919,,25,
919,20,16,Titular
920,,21,
920,13,10,Titular
921,,28,
921,,29,
922,,41,
922,29,1,Titular
923,,40,
923,,7,
924,,24,
924,3,3,Titular
925,,35,
925,,18,
926,,34,
926,,8,
927,,6,
927,24,11,Titular
928,,27,
928,,5,
929,12,13,Titular
929,38,38,Titular
930,,31,
930,34,20,Titular
931,,4,
931,,33,
932,,37,
932,33,9,Titular
933,37,23,Titular
933,7,14,Titular
934,,17,
934,,12,
935,,30,
935,,36,
936,24,11,Titular
936,,19,
937,,33,
937,,34,
938,7,14,Titular
938,12,13,Titular
939,,12,
939,,21,
940,,2,
940,20,16,Titular
941,,32,
941,,7,
942,,17,
942,,40,
943,,28,
943,13,10,Titular
944,,22,
944,,36,
945,,25,
945,,24,
946,,35,
946,11,15,Titular
947,34,20,Titular
947,23,8,Titular
948,,37,
948,,6,
949,,18,
949,3,3,Titular
950,29,1,Titular
950,,38,
951,37,23,Titular
951,19,4,Titular
952,,9,
952,,5,
